131 , 23
179 , 415
290 , 3212
376 , 998
556 , 26129
760 , 10789
551 , 894
598 , 43316
708 , 26739
1046 , 109223
804 , 243619
1295 , 217085
931 , 55116
997 , 296452
1143 , 263729
1115 , 277154
1758 , 34559
2165 , 106016
1440 , 127006
1444 , 166404
1590 , 1.21009e+06
1683 , 925489
1727 , 1.1714e+06
1691 , 564323
2266 , 1.79937e+06
5682 , 1.20582e+06
3334 , 1.12923e+06
2198 , 1.64599e+06
2206 , 570252
2231 , 2.66307e+06
2463 , 1.78934e+06
2233 , 1.23665e+06
2472 , 5.57837e+06
2564 , 285435
2692 , 1.10072e+06
2798 , 973310
2769 , 31091
2686 , 429104
3209 , 4.48966e+06
3014 , 5.12982e+06
3106 , 351574
3176 , 2.90454e+06
3271 , 1.15319e+06
3191 , 702889
3285 , 8.40834e+06
3392 , 1.58728e+07
3999 , 290513
3463 , 1.29073e+06
3643 , 3.0346e+06
3711 , 1.55096e+06
3674 , 2.2182e+07
3701 , 8.75282e+06
5276 , 1.68545e+07
6305 , 7.66606e+06
4139 , 9.30691e+06
4046 , 114150
4845 , 1.07768e+06
4652 , 8.91709e+06
6164 , 2.49772e+07
4365 , 2.63065e+07
4977 , 3.63266e+07
4474 , 2.3052e+07
4698 , 1.77817e+07
4655 , 2.11275e+07
4851 , 3.93891e+07
4965 , 4.58281e+06
5138 , 1.88257e+07
5492 , 113084
5511 , 2.47462e+06
5602 , 5.98118e+07
5095 , 760810
5161 , 4.79652e+07
5830 , 3.99424e+07
5357 , 5.0094e+06
5805 , 2.29798e+06
5720 , 1.8011e+07
5536 , 3.58162e+07
5624 , 218868
6908 , 1.01507e+08
16101 , 3.99103e+06
26367 , 1.59922e+06
6198 , 5.14049e+07
9851 , 2.53129e+07
6844 , 3.08667e+07
6229 , 1.7893e+07
6106 , 4.75083e+07
11333 , 4.23287e+07
7639 , 1.03401e+08
6191 , 3.04179e+07
6502 , 4.53284e+07
7831 , 24216
6393 , 1.11111e+07
6648 , 7.64199e+07
6685 , 1.27455e+07
6954 , 1.23322e+08
15747 , 1.27646e+08
8481 , 5.84288e+07
7032 , 595185
7198 , 7.65387e+07
7125 , 1.93996e+07
