insert, search, collision
297 , 23 , 0
219 , 21 , 0
235 , 30 , 0
207 , 41 , 1
213 , 51 , 3
263 , 92 , 6
349 , 57 , 9
229 , 65 , 12
237 , 74 , 18
275 , 156 , 27
1484 , 164 , 39
554 , 184 , 53
510 , 191 , 70
500 , 216 , 89
639 , 226 , 110
557 , 427 , 134
804 , 264 , 161
1351 , 265 , 190
1584 , 156 , 223
622 , 302 , 259
780 , 319 , 301
737 , 335 , 345
800 , 345 , 395
1011 , 366 , 449
851 , 382 , 504
903 , 398 , 566
915 , 414 , 631
984 , 426 , 700
995 , 441 , 775
1007 , 458 , 861
1228 , 448 , 952
2856 , 2489 , 1051
1887 , 532 , 1154
1307 , 503 , 1267
1257 , 518 , 1389
1386 , 527 , 1521
1379 , 547 , 1670
1410 , 562 , 1837
1500 , 576 , 2020
1535 , 594 , 2217
4581 , 590 , 2428
5186 , 606 , 2659
2214 , 619 , 2907
2067 , 643 , 3175
2142 , 666 , 3468
2001 , 679 , 3781
2132 , 686 , 4117
2243 , 698 , 4473
1541 , 388 , 4852
1490 , 395 , 5259
1559 , 535 , 5701
3062 , 770 , 6169
2970 , 775 , 6674
3106 , 798 , 7201
3311 , 810 , 7758
3927 , 1282 , 8348
3123 , 1202 , 8964
4565 , 859 , 9625
6726 , 484 , 10331
3113 , 581 , 11080
3387 , 483 , 11881
3013 , 491 , 12727
3135 , 788 , 13617
3289 , 506 , 14560
3564 , 1090 , 15564
4027 , 507 , 16618
4451 , 534 , 17735
4523 , 522 , 18917
5229 , 540 , 20166
5534 , 522 , 21484
9207 , 976 , 22877
9659 , 544 , 24350
20697 , 1219 , 25906
18608 , 1085 , 27550
14118 , 757 , 29287
18424 , 628 , 31114
15439 , 590 , 33038
1.39967e+06 , 598 , 35062
3.39731e+06 , 590 , 37186
3.56503e+06 , 614 , 39410
3.70434e+06 , 621 , 41734
3.85633e+06 , 629 , 44158
4.04772e+06 , 620 , 46682
4.17483e+06 , 628 , 49306
4.3309e+06 , 635 , 52030
4.49969e+06 , 658 , 54854
4.67385e+06 , 650 , 57778
4.80788e+06 , 657 , 60802
5.25155e+06 , 665 , 63926
7.69646e+06 , 941 , 67150
6.22016e+06 , 680 , 70474
5.57846e+06 , 688 , 73898
6.20434e+06 , 711 , 77422
5.82654e+06 , 702 , 81046
6.07732e+06 , 709 , 84770
6.27066e+06 , 802 , 88594
6.66831e+06 , 831 , 92518
7.12704e+06 , 747 , 96542
6.54528e+06 , 740 , 100666
7.05627e+06 , 848 , 104890
