423 , 24 , 0
190 , 27 , 0
240 , 40 , 0
234 , 53 , 1
283 , 66 , 4
331 , 145 , 10
305 , 92 , 19
417 , 120 , 31
348 , 118 , 49
753 , 131 , 76
571 , 145 , 115
573 , 157 , 170
552 , 205 , 242
376 , 256 , 334
422 , 252 , 448
413 , 215 , 588
464 , 171 , 762
507 , 328 , 968
799 , 349 , 1213
796 , 202 , 1501
570 , 212 , 1839
551 , 221 , 2226
601 , 231 , 2667
607 , 242 , 3170
711 , 206 , 3735
575 , 212 , 4369
576 , 221 , 5076
626 , 229 , 5860
643 , 237 , 6730
1731 , 462 , 7702
1146 , 255 , 8782
1506 , 262 , 9983
727 , 497 , 11310
2703 , 518 , 12769
2298 , 519 , 14379
4322 , 575 , 16155
2555 , 570 , 18117
3570 , 562 , 20324
4445 , 620 , 22768
2889 , 750 , 25479
3850 , 553 , 28466
2654 , 314 , 31747
1087 , 321 , 35356
1091 , 328 , 39347
1151 , 336 , 43737
1190 , 344 , 48591
3044 , 671 , 53942
12196 , 685 , 59835
3554 , 696 , 66303
2525 , 701 , 73401
2646 , 724 , 81217
2713 , 735 , 89795
2923 , 750 , 99238
2985 , 753 , 109681
3459 , 835 , 121136
5209 , 418 , 133768
2156 , 426 , 147674
2197 , 433 , 162973
2320 , 441 , 179740
4947 , 850 , 198275
4593 , 868 , 218860
4664 , 863 , 241724
6264 , 883 , 267296
5440 , 481 , 296066
6022 , 486 , 328923
6924 , 933 , 366836
5692 , 501 , 411903
4668 , 509 , 465971
6923 , 517 , 531563
11618 , 1013 , 610376
22831 , 1913 , 705571
23427 , 982 , 826719
12666 , 560 , 975655
10454 , 552 , 1150050
11687 , 560 , 1350733
21690 , 569 , 1583237
20583 , 601 , 1854056
1.65267e+06 , 601 , 35397096
4.03003e+06 , 592 , 120376212
4.11715e+06 , 614 , 209356228
4.40513e+06 , 623 , 302337144
4.89435e+06 , 698 , 399318960
4.81279e+06 , 690 , 500301676
4.97518e+06 , 902 , 605285292
5.56327e+06 , 717 , 714269808
5.84532e+06 , 645 , 827255224
6.67528e+06 , 733 , 944241540
6.56956e+06 , 741 , 1065228756
7.11368e+06 , 666 , 1190216872
7.52005e+06 , 777 , 1319205888
7.5726e+06 , 1286 , 1452195804
7.93564e+06 , 1604 , 1589186620
7.16846e+06 , 763 , 1730178336
7.46282e+06 , 785 , 1875170952
7.76994e+06 , 806 , 2024164468
8.21774e+06 , 722 , -2117808412
8.4443e+06 , 1436 , -1960813096
8.773e+06 , 2004 , -1799816880
8.71156e+06 , 818 , -1634819764
7.94101e+06 , 761 , -1465821748
